STT,YearStudy,TermID,DepartmentID,CurriculumID,ProfessorID,SLSV_lechden3ruoi,SLSV_lechtren3ruoiden5,SLSV_lechtren5,SLSV,phtram_lechden3ruoi,phtram_lechtren3ruoiden5,phtram_lechtren5,CanhBao
91,2014-2015,HK02,162,POEL330262,2951,41,20,19,80,51.3,25.0,23.8,Cảnh báo điểm QT cao nhiều so với điểm thi
92,2014-2015,HK02,162,POEL330262,9985,108,38,27,173,62.4,22.0,15.6,
93,2014-2015,HK02,162,POEL330262,2135,121,33,6,160,75.6,20.6,3.8,
94,2014-2015,HK02,162,POEL330262,1016,33,2,0,35,94.3,5.7,0.0,
95,2014-2015,HK02,162,POEL330262,1011,13,0,0,13,100.0,0.0,0.0,
96,2014-2015,HK02,163,1146050,9259,68,26,1,95,71.6,27.4,1.1,
97,2014-2015,HK02,163,1146050,1218,24,6,0,30,80.0,20.0,0.0,
98,2014-2015,HK02,163,1163100,1019,24,12,1,37,64.9,32.4,2.7,
99,2014-2015,HK02,163,1263113,9259,28,1,0,29,96.6,3.4,0.0,
100,2014-2015,HK02,163,1263113,7040,13,0,0,13,100.0,0.0,0.0,
101,2014-2015,HK02,163,1263240,1218,70,0,0,70,100.0,0.0,0.0,
102,2014-2015,HK02,163,1263250,1019,32,9,4,45,71.1,20.0,8.9,
103,2014-2015,HK02,163,1263422,9986,69,0,0,69,100.0,0.0,0.0,
104,2014-2015,HK02,163,1263440,343,20,0,2,22,90.9,0.0,9.1,
105,2014-2015,HK02,163,1263490,2193,65,7,0,72,90.3,9.7,0.0,
106,2014-2015,HK02,163,ADMI320763,9259,42,0,0,42,100.0,0.0,0.0,
107,2014-2015,HK02,163,DIGI330163,9909,26,20,13,59,44.1,33.9,22.0,Cảnh báo điểm QT cao nhiều so với điểm thi
108,2014-2015,HK02,163,DIGI330163,1014,40,24,19,83,48.2,28.9,22.9,Cảnh báo điểm QT cao nhiều so với điểm thi
109,2014-2015,HK02,163,DIGI330163,2193,58,24,17,99,58.6,24.2,17.2,Cảnh báo điểm QT cao nhiều so với điểm thi
110,2014-2015,HK02,163,DIGI330163,1016,70,22,5,97,72.2,22.7,5.2,
111,2014-2015,HK02,163,DIGI330163,9602,141,44,27,212,66.5,20.8,12.7,
112,2014-2015,HK02,163,DIGI330163,9993,278,40,18,336,82.7,11.9,5.4,
113,2014-2015,HK02,163,DIGI330163,4721,72,10,5,87,82.8,11.5,5.7,
114,2014-2015,HK02,163,DIGI330163,1177,131,11,7,149,87.9,7.4,4.7,
115,2014-2015,HK02,163,DIGI330163,2204,49,0,0,49,100.0,0.0,0.0,
116,2014-2015,HK02,163,DSIC330563,1021,246,15,4,265,92.8,5.7,1.5,
117,2014-2015,HK02,163,DSIC330563,2080,14,0,0,14,100.0,0.0,0.0,
118,2014-2015,HK02,163,IMPR432463,2193,16,5,3,24,66.7,20.8,12.5,
119,2014-2015,HK02,163,IMPR432463,4721,68,11,4,83,81.9,13.3,4.8,
120,2014-2015,HK02,163,IMPR432463,390,54,1,0,55,98.2,1.8,0.0,
121,2014-2015,HK02,163,MICR330363,9909,41,29,16,86,47.7,33.7,18.6,Cảnh báo điểm QT cao nhiều so với điểm thi
122,2014-2015,HK02,163,MICR330363,9259,101,12,0,113,89.4,10.6,0.0,
123,2014-2015,HK02,163,MICR330363,1218,84,4,0,88,95.5,4.5,0.0,
124,2014-2015,HK02,163,MICR330363,1184,162,2,0,164,98.8,1.2,0.0,
125,2014-2015,HK02,164,1164091,1178,12,1,0,13,92.3,7.7,0.0,
126,2014-2015,HK02,164,1164091,206,22,0,0,22,100.0,0.0,0.0,
127,2014-2015,HK02,164,1264062,4030,36,0,0,36,100.0,0.0,0.0,
128,2014-2015,HK02,164,1264063,2206,28,0,0,28,100.0,0.0,0.0,
129,2014-2015,HK02,164,1264072,2953,9,0,0,9,100.0,0.0,0.0,
130,2014-2015,HK02,164,1264131,4030,22,1,0,23,95.7,4.3,0.0,
131,2014-2015,HK02,164,1264150,2080,19,1,0,20,95.0,5.0,0.0,
132,2014-2015,HK02,164,1264160,9164,13,0,0,13,100.0,0.0,0.0,
133,2014-2015,HK02,164,1264170,438,57,0,0,57,100.0,0.0,0.0,
134,2014-2015,HK02,164,1264201,9164,9,0,0,9,100.0,0.0,0.0,
135,2014-2015,HK02,164,1264312,2148,15,0,0,15,100.0,0.0,0.0,
136,2014-2015,HK02,164,1264340,390,15,2,1,18,83.3,11.1,5.6,
137,2014-2015,HK02,164,1264480,2953,18,0,0,18,100.0,0.0,0.0,
138,2014-2015,HK02,164,AWPR330964,4016,14,17,12,43,32.6,39.5,27.9,Cảnh báo điểm QT cao nhiều so với điểm thi
139,2014-2015,HK02,164,AWPR330964,2953,109,21,0,130,83.8,16.2,0.0,
140,2014-2015,HK02,164,BMIE330364,2206,73,20,10,103,70.9,19.4,9.7,
141,2014-2015,HK02,164,BMIE330364,206,22,0,0,22,100.0,0.0,0.0,
142,2014-2015,HK02,164,COAR335364,4016,40,1,0,41,97.6,2.4,0.0,
143,2014-2015,HK02,164,COAR335364,2200,12,0,0,12,100.0,0.0,0.0,
144,2014-2015,HK02,164,COEL330264,9254,146,77,43,266,54.9,28.9,16.2,Cảnh báo điểm QT cao nhiều so với điểm thi
145,2014-2015,HK02,164,COEL330264,2204,81,2,0,83,97.6,2.4,0.0,
146,2014-2015,HK02,164,COEL330264,206,74,0,0,74,100.0,0.0,0.0,
147,2014-2015,HK02,164,CONE337764,9164,117,6,0,123,95.1,4.9,0.0,
148,2014-2015,HK02,164,CONE337764,4124,24,0,1,25,96.0,0.0,4.0,
149,2014-2015,HK02,164,CONE345464,4124,16,0,0,16,100.0,0.0,0.0,
150,2014-2015,HK02,164,CONE345464,361,55,0,0,55,100.0,0.0,0.0,
151,2014-2015,HK02,164,DACO430664,4016,27,0,0,27,100.0,0.0,0.0,
710,2014-2015,HK02,1702,PHYS120202,3871,204,120,70,394,51.8,30.5,17.8,Cảnh báo điểm QT cao nhiều so với điểm thi
711,2014-2015,HK02,1702,PHYS120202,9923,97,107,149,353,27.5,30.3,42.2,Cảnh báo điểm QT cao nhiều so với điểm thi
712,2014-2015,HK02,1702,PHYS120202,229,83,50,33,166,50.0,30.1,19.9,Cảnh báo điểm QT cao nhiều so với điểm thi
713,2014-2015,HK02,1702,PHYS120202,9230,135,84,63,282,47.9,29.8,22.3,Cảnh báo điểm QT cao nhiều so với điểm thi
714,2014-2015,HK02,1702,PHYS120202,9955,193,110,121,424,45.5,25.9,28.5,Cảnh báo điểm QT cao nhiều so với điểm thi
715,2014-2015,HK02,1702,PHYS120202,9236,135,52,30,217,62.2,24.0,13.8,
716,2014-2015,HK02,1702,PHYS120202,9162,115,51,81,247,46.6,20.6,32.8,Cảnh báo điểm QT cao nhiều so với điểm thi
717,2014-2015,HK02,1702,PHYS120202,9019,276,58,21,355,77.7,16.3,5.9,
718,2014-2015,HK02,1702,PHYS130102,48,17,22,12,51,33.3,43.1,23.5,Cảnh báo điểm QT cao nhiều so với điểm thi
719,2014-2015,HK02,1702,PHYS130102,4570,56,70,75,201,27.9,34.8,37.3,Cảnh báo điểm QT cao nhiều so với điểm thi
