CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1250971,Chuyên đề 1 (TN- CTP-K.07),3,DH,GC,750,Special Subject 1 for Graduation
1250972,Chuyên đề 2 (TN-CTP-K.07),2,DH,GC,750,Special Subject 2
1250973,Chuyên đề 3 (TN-CTP-K.07),2,DH,GC,750,Special Subject 3
1251010,Thiết kế giày (TN),3,DH,GC,651,Shoes Design
1251020,Thiết kế giày (TN),4,DH,GC,651,Shoes Design
1251030,Thiết kế Vest (TN),1,DH,GC,651,
1251040,Món ăn Việt Nam,2,DH,NC,651,Vietnamese Cuisine
1251050,Dinh dưỡng lý thuyết,2,DH,NC,651,Nutrition Theory
1251061,Chuyên đề 1 (TN),2,DH,GC,651,Special Subject 1 for Graduation
1251062,Chuyên đề 2 (TN-CNM),2,DH,GC,651,Special Subject 2
1251063,Chuyên đề 3 (TN - CTCNM),2,DH,GC,651,Special Subject 3
1251064,Chuyên đề 4 (TN - CTCNM),3,DH,GC,651,Special Subject 4
1251065,Chuyên đề 5 (TN-CTCNM),2,DH,GC,651,Special Subject 5
1251066,Chuyên đề 1 (TN - CNM - K.08),3,DH,GC,651,Special Subject 1 for Graduation
1251067,Chuyên đề 3 - CNM (TN -K.08 ),1,DH,GC,651,Special Subject 3
1251070,Thiết bị may CN và bảo trì,4,DH,NC,651,Garment Equipment and Maintenance
1251080,Bánh Việt Nam,1,DH,NC,651,Vietnamese Cake
1251081,"Bánh Âu, á (K.08)",3,DH,NC,651,Eastern & Western Pastry
1251090,Dưỡng nhi,2,DH,NC,651,Ward's Nurseries
1251100,"Món ăn Âu, á",2,DH,NC,651,Western and Asian Cuisine
1251110,Tồn trữ thực phẩm,2,DH,NC,651,Food Preservation
1251120,Kỹ thuật pha chế Cocktail,1,DH,NC,651,Cocktail-Making Technique
1251121,kỹ thuật pha chế Cocktail (K08,2,DH,NC,651,Cocktail-Making Technique
1251130,Thêu trang trí,2,DH,NC,651,
